IID,GID,rfunc,rparams,rseed,pathfunc,pparams,rfrac,rsize,numpaths,nodesinrunion,nodeavgfreqinrunion,transitinrunion,transitavgfreqinrunion,edgesinrunion,edgeavgfreqinrunion,edgemedfreqinrunion
I_2013-10-08_135,G_2013-10-08_7,rpermute,{'rfrac': 0.3},6843703487748887114,shortestpaths,{},0.3,15,130,37,22.0540540541,29,13.6551724138,67,9.0447761194,8
I_2013-10-08_136,G_2013-10-08_7,rpermute,{'rfrac': 0.35},9060551926696215549,shortestpaths,{},0.36,18,188,40,31.05,36,17.5,71,13.1830985915,9
I_2013-10-08_137,G_2013-10-08_7,rpermute,{'rfrac': 0.35},2827387882456279332,shortestpaths,{},0.36,18,186,36,32.8333333333,29,19.6551724138,65,13.4769230769,13
I_2013-10-08_138,G_2013-10-08_7,rpermute,{'rfrac': 0.35},5364739095453785445,shortestpaths,{},0.36,18,184,41,29.4634146341,36,16.5555555556,77,11.7142857143,9
I_2013-10-08_139,G_2013-10-08_7,rpermute,{'rfrac': 0.4},-3969530434225443743,shortestpaths,{},0.4,20,241,41,39.3170731707,32,26.625,75,16.4266666667,15
I_2013-10-08_140,G_2013-10-08_7,rpermute,{'rfrac': 0.4},-3147513799245371194,shortestpaths,{},0.4,20,227,42,37.2380952381,35,22.9714285714,77,15.3766233766,16
I_2013-10-08_141,G_2013-10-08_7,rpermute,{'rfrac': 0.4},8253526333710009933,shortestpaths,{},0.4,20,234,38,38.6315789474,33,21.4545454545,69,15.768115942,14
I_2013-10-08_142,G_2013-10-08_7,rpermute,{'rfrac': 0.45},-7246498225645547091,shortestpaths,{},0.46,23,306,44,48.3636363636,36,31.0,81,20.024691358,21
I_2013-10-08_143,G_2013-10-08_7,rpermute,{'rfrac': 0.45},-1367668090226734457,shortestpaths,{},0.46,23,310,40,50.25,33,30.2424242424,73,20.602739726,19
I_2013-10-08_144,G_2013-10-08_7,rpermute,{'rfrac': 0.45},284227420942668440,shortestpaths,{},0.46,23,303,41,47.0731707317,36,25.5,74,19.2432432432,14.5
